"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,50,"linear","target-E-Lv_null-E-Lv_r1",1,20,"plots/svg/0a914e0007b3773bd12e936e0f815a1b.svg","emily-log-1",101,"3df0bf67267a04243730b6bea6242535"
2,50,"log","target-E-Lv_null-E-Lv_r1",1,20,"plots/svg/93509c8d2d701218e52d6268633467d9.svg","emily-log-1",201,"3df0bf67267a04243730b6bea6242535"
3,50,"linear","target-E-Lv_null-E-Lv_r1",1,18,"plots/svg/035fa0ba59868d51a7f3ac981ddd15be.svg","emily-log-1",101,"e76b7c0648df04a607dd2361131db45f"
4,50,"log","target-E-Lv_null-E-Lv_r1",1,18,"plots/svg/93de538444ad09515afafdd4f2d32c69.svg","emily-log-1",201,"e76b7c0648df04a607dd2361131db45f"
5,50,"linear","target-E-Lv_null-M-Lv_r0",1,12,"plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","emily-log-1",102,"87f34b01f1fce217b6c33e04da081ed0"
6,50,"log","target-E-Lv_null-M-Lv_r0",1,12,"plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","emily-log-1",202,"87f34b01f1fce217b6c33e04da081ed0"
7,50,"linear","target-E-Lv_null-M-Lv_r0",1,14,"plots/svg/19458f4a249031b8179c02b343dffe30.svg","emily-log-1",102,"e079c7c97296f2c777bede60f7d1c5b7"
8,50,"log","target-E-Lv_null-M-Lv_r0",1,14,"plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg","emily-log-1",202,"e079c7c97296f2c777bede60f7d1c5b7"
9,50,"linear","target-E-Lv_null-H-Lv_r0",1,15,"plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","emily-log-1",103,"d14de6e8946c29750256921ce0462931"
10,50,"log","target-E-Lv_null-H-Lv_r0",1,15,"plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","emily-log-1",203,"d14de6e8946c29750256921ce0462931"
