"participant_id","n_lineups","age","gender","academic_study","computer_mouse","recruitment","dataset_id","set","curvature","target","null","scale","correct","response_no","binary_response","conf_level","choice_reason"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","b8efad9285426a191f979b32a5094198","2","t-H_n-E","H","E","log",9,"14",0,"Certain","Different range"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","909f6bb4a0bbb8708bcc2d96c0b7052f","2","t-E_n-H","E","H","linear",17,"17",1,"Very Certain","Different slope"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","70eebf16937fb9e77a3b806afe9aa528","2","t-M_n-H","M","H","log",13,"13,16",1,"Very Certain","Different shape"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","914e02881a7432dc34831c5dff0477e0","2","t-H_n-M","H","M","log",12,"3",0,"Certain","Clustering, Different range"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","8105c77bcc5d38d9b4e742f1b76de5fc","1","t-E_n-H","E","H","linear",15,"15",1,"Very Certain","Different range, Different slope"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","076f2d6385d635ea49402478f7e44cab","2","t-E_n-M","E","M","linear",14,"9",0,"Uncertain","Different range"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","b8efad9285426a191f979b32a5094198","2","t-H_n-E","H","E","linear",9,"5",0,"Neutral","Different slope"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","ee322d63db5869407801b2c6cd54c452","1","t-H_n-E","H","E","linear",1,"1",1,"Certain","Different shape"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","076f2d6385d635ea49402478f7e44cab","2","t-E_n-M","E","M","log",14,"16,14",1,"Certain","Different shape"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","909f6bb4a0bbb8708bcc2d96c0b7052f","2","t-E_n-H","E","H","linear",17,"17",1,"Very Certain","Different slope"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","70eebf16937fb9e77a3b806afe9aa528","2","t-M_n-H","M","H","log",13,"13",1,"Very Certain","Different shape"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","70eebf16937fb9e77a3b806afe9aa528","2","t-M_n-H","M","H","linear",13,"13",1,"Very Certain","Different slope"
"9b8fd4dc37a339758877573fedde8546",13,"19-25","Female","High School or Less","Yes","Prolific","b8efad9285426a191f979b32a5094198","2","t-H_n-E","H","E","linear",9,"1",0,"Neutral","Clustering"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","909f6bb4a0bbb8708bcc2d96c0b7052f","2","t-E_n-H","E","H","log",17,"17",1,"Certain","Different range"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","17c70f64092db27a58faa6c255efd8ba","1","t-M_n-H","M","H","log",1,"11",0,"Neutral","Different shape"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","70eebf16937fb9e77a3b806afe9aa528","2","t-M_n-H","M","H","log",13,"2",0,"Certain","Different range"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","17c70f64092db27a58faa6c255efd8ba","1","t-M_n-H","M","H","linear",1,"1",1,"Neutral","Clustering, Different range"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","076f2d6385d635ea49402478f7e44cab","2","t-E_n-M","E","M","log",14,"18",0,"Certain","Different shape"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","85c5c5a6ab4fdb3aaf06947e0b9d4483","1","t-M_n-E","M","E","linear",10,"11",0,"Certain","Different range"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","909f6bb4a0bbb8708bcc2d96c0b7052f","2","t-E_n-H","E","H","linear",17,"15",0,"Uncertain","Clustering"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","07f1a227ee4ee73124d6589fada210dc","2","t-M_n-E","M","E","log",10,"10",1,"Certain","Clustering, Different shape"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","ee322d63db5869407801b2c6cd54c452","1","t-H_n-E","H","E","linear",1,"19",0,"Neutral","Clustering"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","909f6bb4a0bbb8708bcc2d96c0b7052f","2","t-E_n-H","E","H","linear",17,"17",1,"Very Certain","Clustering"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","17c70f64092db27a58faa6c255efd8ba","1","t-M_n-H","M","H","linear",1,"1",1,"Neutral","Different range"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","914e02881a7432dc34831c5dff0477e0","2","t-H_n-M","H","M","linear",12,"7",0,"Neutral","Clustering"
"cb9d2b4cdb0805a5a7858173805b8d5d",13,"19-25","Prefer not to answer","Graduate Degree","Yes","Prolific","914e02881a7432dc34831c5dff0477e0","2","t-H_n-M","H","M","log",12,"7",0,"Uncertain","Different shape"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","17c70f64092db27a58faa6c255efd8ba","1","t-M_n-H","M","H","linear",1,"1,10",1,"Certain","Clustering, Different range"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","ee322d63db5869407801b2c6cd54c452","1","t-H_n-E","H","E","linear",1,"1",1,"Very Certain","Different shape, Different slope"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","8105c77bcc5d38d9b4e742f1b76de5fc","1","t-E_n-H","E","H","log",15,"15",1,"Very Certain","Clustering, Different shape, Different slope"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","8105c77bcc5d38d9b4e742f1b76de5fc","1","t-E_n-H","E","H","linear",15,"15",1,"Certain","Different shape"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","9f2d96ab9212ba1d26f176b00e6eeec0","1","t-E_n-M","E","M","linear",12,"10",0,"Uncertain","Different shape"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","8105c77bcc5d38d9b4e742f1b76de5fc","1","t-E_n-H","E","H","linear",15,"5",0,"Neutral","Clustering"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","17c70f64092db27a58faa6c255efd8ba","1","t-M_n-H","M","H","linear",1,"1",1,"Neutral","Clustering, Different slope"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","076f2d6385d635ea49402478f7e44cab","2","t-E_n-M","E","M","log",14,"14",1,"Certain","Different shape"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","1b39b36e7a6189897f2015f191953b9d","1","t-H_n-M","H","M","log",12,"12",1,"Neutral","Clustering, Different shape"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","b8efad9285426a191f979b32a5094198","2","t-H_n-E","H","E","log",9,"9",1,"Certain","Different slope"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","914e02881a7432dc34831c5dff0477e0","2","t-H_n-M","H","M","log",12,"12",1,"Neutral","Different shape, Different slope"
"68c1934bf5e5e1327344324e1f615a88",12,"19-25","Male","Some Undergraduate Courses","Yes","Prolific","8105c77bcc5d38d9b4e742f1b76de5fc","1","t-E_n-H","E","H","log",15,"15",1,"Very Certain","Clustering, Different slope, Outlier(s)"
"03e791a1817ef22c40e1a2ff3a42e43b",12,"56-60","Female","Graduate Degree","Yes","Prolific","07f1a227ee4ee73124d6589fada210dc","2","t-M_n-E","M","E","linear",10,"1",0,"Certain","Different shape"
