"participant_id","NQs","age","gender","academic_study","computer_mouse","recruitment","order","q_id","qtext","creature","dataset","scale","response","true_value","deviation","abs_deviation","closest_pt_value","closest_pt_deviation","closest_pt_abs_deviation","showed_work","showed_work_n","calculation","scratchpad","pop20_est","pop40_est","anchored","logic","work_notes"
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",2,"Q0","Between 30 and 40 ABY, how does the population of Ewoks change?","ewok","dataset1","log2","10000",,,,,,,0,6,,,,,,,
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",3,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset1","log2","500",481.6152,18.38480004,18.38480004,445.4833,54.5167,54.5167,0,6,,,,,,,
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",4,"QE2","In what ABY does the population of Ewoks reach 4,000?","ewok","dataset1","log2","24",28.44947006,-4.449470062,4.449470062,24,0,0,0,6,,,,,,,
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",5,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset1","log2","16",10.68524351,5.314756492,5.314756492,11.15,4.85,4.85,1,6,,"40 - 16 384
20 - 1024
",1024,16384,,"correct",
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",6,"QI3","How long does it take for the population of Ewoks in 10 ABY to double?","ewok","dataset1","log2","6",6.245447942,-0.245447942,0.245447942,4,2,2,1,6,,"10 aby - 500
",,,,,
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",7,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset1","log2","14848",14363.34135,484.658652,484.658652,15517.75,-669.75,669.75,1,6,"2048 - 1024=1024; 1024 - 512=512; 1024 + 512=1536; 16384 - 1536=14848","20 aby 1536
40 16384
",1536,16384,"log grid lines","correct","estimate between grid lines"
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",9,"Q0","Between stardates 4530 and 4540, how does the population of Tribbles change?","tribble","dataset2","linear","19000",,,,,,,1,6,,"20 aby 1536
40 16384
",,,,,
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",10,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset2","linear","17",10.68524351,6.314756492,6.314756492,18.76,-1.76,1.76,1,6,,"4540 - 25 000
4520 - 1500",1500,25000,,"correct",
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",11,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset2","linear","500",481.6152,18.38480004,18.38480004,466.8964,33.1036,33.1036,0,6,,,,,,,
"0f7fc4ff03ad53f80b84cc62c1644648",12,"19-25","Female","High School or Less","Yes","Prolific",12,"QI3","How long does it take for the population of Tribbles in stardate 4510 to double?","tribble","dataset2","linear","10",6.245447942,3.754552058,3.754552058,6,4,4,0,6,,,,,,,
