participant_id,NQs,age,gender,academic_study,computer_mouse,recruitment,order,q_id,creature,dataset,scale,response,true_value,deviation,abs_deviation,calculation,scratchpad,qtext
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,2,Q0,ewok,dataset1,log2,10000,,,,,,"Between 30 and 40 ABY, how does the population of Ewoks change?"
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,3,QE1,ewok,dataset1,log2,500,481.6152,18.38480004,18.38480004,,,What is the population of Ewoks in 10 ABY?
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,4,QE2,ewok,dataset1,log2,24,28.44947006,-4.449470062,4.449470062,,,"In what ABY does the population of Ewoks reach 4,000?"
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,5,QI2,ewok,dataset1,log2,16,10.68524351,5.314756492,5.314756492,,"40 - 16 384
20 - 1024
",How many times more Ewoks are there in 40 ABY than in 20 ABY?
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,6,QI3,ewok,dataset1,log2,6,6.245447942,-0.245447942,0.245447942,,"10 aby - 500
",How long does it take for the population of Ewoks in 10 ABY to double?
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,7,QI1,ewok,dataset1,log2,14848,14363.34135,484.658652,484.658652,2048 - 1024=1024; 1024 - 512=512; 1024 + 512=1536; 16384 - 1536=14848,"20 aby 1536
40 16384
","From 20 ABY to 40 ABY, the population increases by ____ Ewoks."
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,9,Q0,tribble,dataset2,linear,19000,,,,,"20 aby 1536
40 16384
","Between stardates 4530 and 4540, how does the population of Tribbles change?"
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,10,QI2,tribble,dataset2,linear,17,10.68524351,6.314756492,6.314756492,,"4540 - 25 000
4520 - 1500",How many times more Tribbles are there in 4540 than in 4520?
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,11,QE1,tribble,dataset2,linear,500,481.6152,18.38480004,18.38480004,,,What is the population of Tribbles in stardate 4510?
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,12,QI3,tribble,dataset2,linear,10,6.245447942,3.754552058,3.754552058,,,How long does it take for the population of Tribbles in stardate 4510 to double?
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,13,QE2,tribble,dataset2,linear,27,28.44947006,-1.449470062,1.449470062,,,"In what stardate does the population of Tribbles reach 4,000?"
0f7fc4ff03ad53f80b84cc62c1644648,12,19-25,Female,High School or Less,Yes,Prolific,14,QI1,tribble,dataset2,linear,23000,14363.34135,8636.658652,8636.658652,,"4520 1500
4540 24500 ","From 4520 to 4540, the population increases by ____ Tribbles."
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,2,Q0,tribble,dataset1,log2,the poplulation has more than doubled,,,,,,"Between stardates 4530 and 4540, how does the population of Tribbles change?"
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,3,QI3,tribble,dataset1,log2,8,6.245447942,1.754552058,1.754552058,,,How long does it take for the population of Tribbles in stardate 4510 to double?
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,4,QI1,tribble,dataset1,log2,13000,14363.34135,-1363.341348,1363.341348,,,"From 4520 to 4540, the population increases by ____ Tribbles."
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,5,QE2,tribble,dataset1,log2,24,28.44947006,-4.449470062,4.449470062,,,"In what stardate does the population of Tribbles reach 4,000?"
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,6,QI2,tribble,dataset1,log2,32,10.68524351,21.31475649,21.31475649,,,How many times more Tribbles are there in 4540 than in 4520?
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,7,QE1,tribble,dataset1,log2,500,481.6152,18.38480004,18.38480004,,,What is the population of Tribbles in stardate 4510?
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,9,Q0,ewok,dataset2,linear,the population increased,,,,,,"Between 30 and 40 ABY, how does the population of Ewoks change?"
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,10,QE1,ewok,dataset2,linear,400,481.6152,-81.61519996,81.61519996,,,What is the population of Ewoks in 10 ABY?
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,11,QE2,ewok,dataset2,linear,25,28.44947006,-3.449470062,3.449470062,,,"In what ABY does the population of Ewoks reach 4,000?"
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,12,QI2,ewok,dataset2,linear,500,10.68524351,489.3147565,489.3147565,,,How many times more Ewoks are there in 40 ABY than in 20 ABY?
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,13,QI1,ewok,dataset2,linear,2400,14363.34135,-11963.34135,11963.34135,,,"From 20 ABY to 40 ABY, the population increases by ____ Ewoks."
5b16d305db2092ddae8cf1c410341f36,12,19-25,Prefer not to answer,Graduate Degree,Yes,Prolific,14,QI3,ewok,dataset2,linear,12,6.245447942,5.754552058,5.754552058,,,How long does it take for the population of Ewoks in 10 ABY to double?
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,2,Q0,ewok,dataset2,log2,between those years the population was multiplied by around 4 times,,,,,,"Between 30 and 40 ABY, how does the population of Ewoks change?"
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,3,QE1,ewok,dataset2,log2,510,481.6152,28.38480004,28.38480004,,,What is the population of Ewoks in 10 ABY?
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,4,QE2,ewok,dataset2,log2,28,28.44947006,-0.449470062,0.449470062,,,"In what ABY does the population of Ewoks reach 4,000?"
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,5,QI1,ewok,dataset2,log2,14800,14363.34135,436.658652,436.658652,,,"From 20 ABY to 40 ABY, the population increases by ____ Ewoks."
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,6,QI3,ewok,dataset2,log2,7,6.245447942,0.754552058,0.754552058,,,How long does it take for the population of Ewoks in 10 ABY to double?
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,7,QI2,ewok,dataset2,log2,11.6,10.68524351,0.914756492,0.914756492,16300/1200=13.58; 16300/1400=11.64,,How many times more Ewoks are there in 40 ABY than in 20 ABY?
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,9,Q0,tribble,dataset1,linear,tripled (X3),,,,,,"Between stardates 4530 and 4540, how does the population of Tribbles change?"
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,10,QI2,tribble,dataset1,linear,12.5,10.68524351,1.814756492,1.814756492,150/12=12.5,,How many times more Tribbles are there in 4540 than in 4520?
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,11,QE2,tribble,dataset1,linear,28,28.44947006,-0.449470062,0.449470062,,,"In what stardate does the population of Tribbles reach 4,000?"
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,12,QI3,tribble,dataset1,linear,5,6.245447942,-1.245447942,1.245447942,,,How long does it take for the population of Tribbles in stardate 4510 to double?
8ab3438eb60817740bdd15143ceacd06,12,19-25,Male,Some Undergraduate Courses,Yes,Prolific,13,QE1,tribble,dataset1,linear,800,481.6152,318.3848,318.3848,,,What is the population of Tribbles in stardate 4510?
