param_id,param_value,set,test_param,order,pic_id,sample_size,p_value,obs_plot_location,pic_name,experiment,difficulty,data_name,trial,rorschach
2,target-E-Lv_null-H-Lv_r0,1,linear,1,9,50,1,15,plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg,emily-log-1,103,d14de6e8946c29750256921ce0462931,0,0
2,target-E-Lv_null-H-Lv_r0,1,log,2,10,50,1,15,plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg,emily-log-1,203,d14de6e8946c29750256921ce0462931,0,0
6,target-H-Lv_null-M-Lv_r0,2,linear,3,31,50,1,12,plots/svg/e9510e025a1152c8bc78255bdc926f93.svg,emily-log-1,108,b79bc1a0fdbb69edc87fe34883a066d6,0,0
3,target-M-Lv_null-E-Lv_r0,2,linear,4,15,50,1,10,plots/svg/d8dea45d5c5b31523324bc29de32411f.svg,emily-log-1,104,7ff3391e264e98652cdb6eb8b85088c4,0,0
1,target-E-Lv_null-M-Lv_r0,1,log,5,6,50,1,12,plots/svg/5ecce62e937c1598e901631b3a1821d2.svg,emily-log-1,202,87f34b01f1fce217b6c33e04da081ed0,0,0
6,target-H-Lv_null-M-Lv_r0,2,log,6,32,50,1,12,plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg,emily-log-1,208,b79bc1a0fdbb69edc87fe34883a066d6,0,0
1,target-E-Lv_null-M-Lv_r0,1,linear,7,5,50,1,12,plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg,emily-log-1,102,87f34b01f1fce217b6c33e04da081ed0,0,0
5,target-H-Lv_null-E-Lv_r0,1,linear,8,25,50,1,1,plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg,emily-log-1,107,d5c6dd039c67d2cb6771b22aa1c6aaac,0,0
3,target-H-Lv_null-H-Lv_r1,2,log,9,36,50,1,1,plots/svg/c374950bc853aad5a4d3310fe25d9ddb.svg,emily-log-1,209,6d411bb5d0d26fd3a2d16ae1b8b4445b,0,1
4,target-M-Lv_null-H-Lv_r0,1,log,10,22,50,1,1,plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg,emily-log-1,206,3d689aa117d70559b73fe8398f1a44c6,0,0
5,target-H-Lv_null-E-Lv_r0,1,log,11,26,50,1,1,plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg,emily-log-1,207,d5c6dd039c67d2cb6771b22aa1c6aaac,0,0
3,target-M-Lv_null-E-Lv_r0,2,log,12,16,50,1,10,plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg,emily-log-1,204,7ff3391e264e98652cdb6eb8b85088c4,0,0
4,target-M-Lv_null-H-Lv_r0,1,linear,13,21,50,1,1,plots/svg/20d0abf28998f59ada75cce6b4999158.svg,emily-log-1,106,3d689aa117d70559b73fe8398f1a44c6,0,0
