"param_id","param_value","set","test_param","order","pic_id","sample_size","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name","trial","rorschach"
3,"target-H-Lv_null-H-Lv_r1",1,"log",1,34,50,1,13,"plots/svg/dd336d3d442d53d71ad505727da39d02.svg","emily-log-1",209,"a3df7e1ea7711045cd8ec20ae87aa787",0,"1"
1,"target-E-Lv_null-M-Lv_r0",1,"log",2,6,50,1,12,"plots/svg/5ecce62e937c1598e901631b3a1821d2.svg","emily-log-1",202,"87f34b01f1fce217b6c33e04da081ed0",0,"0"
4,"target-M-Lv_null-H-Lv_r0",2,"log",3,24,50,1,13,"plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg","emily-log-1",206,"184b9f1a90081e0ffeedc112c6431d9c",0,"0"
5,"target-H-Lv_null-E-Lv_r0",2,"linear",4,27,50,1,9,"plots/svg/d4332bd8e199471b74969e986f987ac8.svg","emily-log-1",107,"47748c8978f11fc269bed62ca7f6a4d3",0,"0"
4,"target-M-Lv_null-H-Lv_r0",2,"linear",5,23,50,1,13,"plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg","emily-log-1",106,"184b9f1a90081e0ffeedc112c6431d9c",0,"0"
2,"target-E-Lv_null-H-Lv_r0",1,"linear",6,9,50,1,15,"plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg","emily-log-1",103,"d14de6e8946c29750256921ce0462931",0,"0"
3,"target-M-Lv_null-E-Lv_r0",1,"log",7,14,50,1,10,"plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg","emily-log-1",204,"8ad2ea6719790c191cedf1038d3cbca5",0,"0"
2,"target-E-Lv_null-H-Lv_r0",1,"log",8,10,50,1,15,"plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg","emily-log-1",203,"d14de6e8946c29750256921ce0462931",0,"0"
3,"target-M-Lv_null-E-Lv_r0",1,"linear",9,13,50,1,10,"plots/svg/5df2947852318075a066e55984da5020.svg","emily-log-1",104,"8ad2ea6719790c191cedf1038d3cbca5",0,"0"
6,"target-H-Lv_null-M-Lv_r0",1,"log",10,30,50,1,12,"plots/svg/e2e1ff57be869422245fc51b15415492.svg","emily-log-1",208,"f28e70dc6b7365974b49d253cdd85363",0,"0"
6,"target-H-Lv_null-M-Lv_r0",1,"linear",11,29,50,1,12,"plots/svg/abd7b714d3c960b93247a0a3e0308473.svg","emily-log-1",108,"f28e70dc6b7365974b49d253cdd85363",0,"0"
5,"target-H-Lv_null-E-Lv_r0",2,"log",12,28,50,1,9,"plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg","emily-log-1",207,"47748c8978f11fc269bed62ca7f6a4d3",0,"0"
1,"target-E-Lv_null-M-Lv_r0",1,"linear",13,5,50,1,12,"plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg","emily-log-1",102,"87f34b01f1fce217b6c33e04da081ed0",0,"0"
